Time[a.u.] 	 S 	 q[0] 	 p[0] 	 Q[0].re 	 Q[0].im 	 P[0].re 	 P[0].im 
0 	 0 	 -5 	 0 	 1.4142135623730951 	 0 	 0 	 0.70710678118654746 
0.25 	 -0.50000000000000011 	 -5 	 0 	 1.4142135623730951 	 0.17677669529663673 	 0 	 0.70710678118654746 
0.5 	 -1.0000000000000004 	 -5 	 0 	 1.4142135623730951 	 0.35355339059327379 	 0 	 0.70710678118654746 
0.75 	 -1.5000000000000009 	 -5 	 0 	 1.4142135623730951 	 0.53033008588991137 	 0 	 0.70710678118654746 
1 	 -2.0000000000000013 	 -5 	 0 	 1.4142135623730951 	 0.70710678118654902 	 0 	 0.70710678118654746 
1.25 	 -2.5000000000000018 	 -5 	 0 	 1.4142135623730951 	 0.88388347648318666 	 0 	 0.70710678118654746 
1.5 	 -3.0000000000000022 	 -5 	 0 	 1.4142135623730951 	 1.0606601717798223 	 0 	 0.70710678118654746 
1.75 	 -3.5000000000000027 	 -5 	 0 	 1.4142135623730951 	 1.2374368670764544 	 0 	 0.70710678118654746 
2 	 -4.0000000000000027 	 -5 	 0 	 1.4142135623730951 	 1.4142135623730865 	 0 	 0.70710678118654746 
2.25 	 -4.499999999999992 	 -5 	 0 	 1.4142135623730951 	 1.5909902576697186 	 0 	 0.70710678118654746 
2.5 	 -4.9999999999999813 	 -5 	 0 	 1.4142135623730951 	 1.7677669529663507 	 0 	 0.70710678118654746 
2.75 	 -5.4999999999999707 	 -5 	 0 	 1.4142135623730951 	 1.9445436482629828 	 0 	 0.70710678118654746 
3 	 -5.99999999999996 	 -5 	 0 	 1.4142135623730951 	 2.1213203435596149 	 0 	 0.70710678118654746 
3.25 	 -6.4999999999999494 	 -5 	 0 	 1.4142135623730951 	 2.2980970388562469 	 0 	 0.70710678118654746 
3.5 	 -6.9999999999999387 	 -5 	 0 	 1.4142135623730951 	 2.474873734152879 	 0 	 0.70710678118654746 
3.75 	 -7.4999999999999281 	 -5 	 0 	 1.4142135623730951 	 2.6516504294495111 	 0 	 0.70710678118654746 
4 	 -7.9999999999999174 	 -5 	 0 	 1.4142135623730951 	 2.8284271247461432 	 0 	 0.70710678118654746 
4.25 	 -8.4999999999999076 	 -5 	 0 	 1.4142135623730951 	 3.0052038200427753 	 0 	 0.70710678118654746 
4.5 	 -8.999999999999897 	 -5 	 0 	 1.4142135623730951 	 3.1819805153394074 	 0 	 0.70710678118654746 
4.75 	 -9.4999999999998863 	 -5 	 0 	 1.4142135623730951 	 3.3587572106360395 	 0 	 0.70710678118654746 
5 	 -9.9999999999998757 	 -5 	 0 	 1.4142135623730951 	 3.5355339059326716 	 0 	 0.70710678118654746 
5.25 	 -10.499999999999865 	 -5 	 0 	 1.4142135623730951 	 3.7123106012293037 	 0 	 0.70710678118654746 
5.5 	 -10.999999999999854 	 -5 	 0 	 1.4142135623730951 	 3.8890872965259358 	 0 	 0.70710678118654746 
5.75 	 -11.499999999999844 	 -5 	 0 	 1.4142135623730951 	 4.0658639918225763 	 0 	 0.70710678118654746 
6 	 -11.999999999999833 	 -5 	 0 	 1.4142135623730951 	 4.2426406871192306 	 0 	 0.70710678118654746 
6.25 	 -12.499999999999822 	 -5 	 0 	 1.4142135623730951 	 4.4194173824158849 	 0 	 0.70710678118654746 
6.5 	 -12.999999999999812 	 -5 	 0 	 1.4142135623730951 	 4.5961940777125392 	 0 	 0.70710678118654746 
6.75 	 -13.499999999999801 	 -5 	 0 	 1.4142135623730951 	 4.7729707730091935 	 0 	 0.70710678118654746 
7 	 -13.99999999999979 	 -5 	 0 	 1.4142135623730951 	 4.9497474683058478 	 0 	 0.70710678118654746 
7.25 	 -14.49999999999978 	 -5 	 0 	 1.4142135623730951 	 5.1265241636025021 	 0 	 0.70710678118654746 
7.5 	 -14.999999999999769 	 -5 	 0 	 1.4142135623730951 	 5.3033008588991564 	 0 	 0.70710678118654746 
7.75 	 -15.499999999999758 	 -5 	 0 	 1.4142135623730951 	 5.4800775541958107 	 0 	 0.70710678118654746 
8 	 -15.999999999999748 	 -5 	 0 	 1.4142135623730951 	 5.656854249492465 	 0 	 0.70710678118654746 
8.25 	 -16.499999999999737 	 -5 	 0 	 1.4142135623730951 	 5.8336309447891193 	 0 	 0.70710678118654746 
8.5 	 -16.999999999999726 	 -5 	 0 	 1.4142135623730951 	 6.0104076400857736 	 0 	 0.70710678118654746 
8.75 	 -17.499999999999716 	 -5 	 0 	 1.4142135623730951 	 6.1871843353824278 	 0 	 0.70710678118654746 
9 	 -17.999999999999705 	 -5 	 0 	 1.4142135623730951 	 6.3639610306790821 	 0 	 0.70710678118654746 
9.25 	 -18.499999999999694 	 -5 	 0 	 1.4142135623730951 	 6.5407377259757364 	 0 	 0.70710678118654746 
9.5 	 -18.999999999999684 	 -5 	 0 	 1.4142135623730951 	 6.7175144212723907 	 0 	 0.70710678118654746 
9.75 	 -19.499999999999673 	 -5 	 0 	 1.4142135623730951 	 6.894291116569045 	 0 	 0.70710678118654746 
