Time [a.u.] 	 S 	 q[0] 	 p[0] 	 Q[0].re 	 Q[0].im 	 P[0].re 	 P[0].im 
0 	 0 	 -5 	 0 	 1.4142135623730951 	 0 	 0 	 0.70710678118654746 
0.25 	 -2.9964584992199361 	 -4.8445608199738093 	 1.2370403058480477 	 1.1989287985324932 	 0.16770501108083016 	 -1.6772597682793378 	 0.59946439926624617 
0.5 	 -5.2592734668637622 	 -4.387907815370129 	 2.3971667993759485 	 0.61861981187133419 	 0.28435078377500805 	 -2.8438633206651689 	 0.30930990593566676 
0.75 	 -6.2344243601481688 	 -3.6584336936257924 	 3.4082478362314488 	 -0.15003331693248578 	 0.31442350560667026 	 -3.1446281345835323 	 -0.07501665846624242 
1 	 -5.6831582828274669 	 -2.7014939984745054 	 4.2074187734910122 	 -0.87300750718924169 	 0.2487672768025046 	 -2.4879837659957986 	 -0.43650375359461979 
1.25 	 -3.7404454979334805 	 -1.576587098535799 	 4.7449906210792783 	 -1.3301870253868058 	 0.10737170301874652 	 -1.0738512615951654 	 -0.66509351269340211 
1.5 	 -0.88193373051187096 	 -0.35365483626258443 	 4.9875394881185358 	 -1.382379620472566 	 -0.066714112667041747 	 0.66722452973663615 	 -0.69118981023628212 
1.75 	 2.1925079344328524 	 0.89126615311501067 	 4.919984735805242 	 -1.0136948063046531 	 -0.22048824082204629 	 2.205158052977088 	 -0.50684740315232613 
2 	 4.7301428108154484 	 2.0807720704824884 	 4.5465266262619757 	 -0.33638185733715525 	 -0.30713282062884822 	 3.0717121703097781 	 -0.16819092866857779 
2.25 	 6.1096643085247182 	 3.1409045860670881 	 3.8903851684173483 	 0.44334545201248088 	 -0.30026816178031362 	 3.0030569999281349 	 0.22167272600623927 
2.5 	 5.9933146966499793 	 4.0057492482921813 	 2.9923563983467876 	 1.0880924111862191 	 -0.20198426892407634 	 2.0200952011409088 	 0.54404620559310768 
2.75 	 4.409580650436518 	 4.6215337590992567 	 1.9082758583141688 	 1.4015602424948586 	 -0.042204521704981957 	 0.42209797929723086 	 0.70078012124742695 
3 	 1.746218662772145 	 4.9499713027152321 	 0.7055469844094987 	 1.2883109585927475 	 0.13042475649020621 	 -1.3044106162290974 	 0.64415547929637174 
3.25 	 -1.3446820433472884 	 4.9706410541523178 	 -0.5410497473857957 	 0.78282428162181017 	 0.26334509164167813 	 -2.6337801389341577 	 0.3914121408109042 
3.5 	 -4.10635500164872 	 4.6822578577246254 	 -1.7540063475462799 	 0.038999994149045716 	 0.31608774023847486 	 -3.1612725614549375 	 0.019499997074523007 
3.75 	 -5.8626408384201678 	 4.1027521324665761 	 -2.8579064243374344 	 -0.71669817822137594 	 0.27259474759879276 	 -2.7262882620206867 	 -0.35834908911068719 
4 	 -6.1835360197960618 	 3.2681550362800063 	 -3.7841142486523545 	 -1.2541914031233707 	 0.14610793079790174 	 -1.461261965724737 	 -0.62709570156168415 
4.25 	 -4.9904735727341674 	 2.2303582044783097 	 -4.4750422265928975 	 -1.4098352281663435 	 -0.024862706854322614 	 0.24865815081207759 	 -0.70491761408317022 
4.5 	 -2.5755591770832789 	 1.0538873524890935 	 -4.8877314468197719 	 -1.1362425471746214 	 -0.18826367877008035 	 1.882872146719148 	 -0.56812127358730913 
