Time[a.u.] 	 S 	 q[0] 	 p[0] 	 Q[0].re 	 Q[0].im 	 P[0].re 	 P[0].im 
0 	 0 	 5 	 0 	 1.4142135623730951 	 0 	 0 	 0.70710678118654746 
2 	 -0.053900312475632768 	 5.1356062154048105 	 0.12936221851074603 	 0.9421572828313256 	 1.2593255081659178 	 -0.4257192864524294 	 0.4923603008812184 
4 	 -0.059284322738302822 	 5.4807401437371572 	 0.20634992042852204 	 -0.060056164052764267 	 1.901370652989572 	 -0.53117128642233147 	 0.16573645471922063 
6 	 -0.023563129397564903 	 5.9312471660008788 	 0.23896363688764949 	 -1.0831001155115607 	 2.0212733585322606 	 -0.482574112930515 	 -0.022699473173443344 
8 	 0.031444833286578551 	 6.4230146701943278 	 0.25075687976489691 	 -1.9811543899720481 	 1.8775328217057674 	 -0.41642272101046951 	 -0.11011391878544807 
10 	 0.093657656220102664 	 6.9292609838891241 	 0.25477232847382048 	 -2.7545443928655562 	 1.6092157130356779 	 -0.35826397735796572 	 -0.15373721306424709 
12 	 0.15834983327304203 	 7.4403859511383947 	 0.25611126300602299 	 -3.4178964545852235 	 1.2747867159703383 	 -0.30567991449363602 	 -0.17856693840031085 
14 	 0.22387162928253726 	 7.953131983638551 	 0.25655459495864313 	 -3.9787902007048768 	 0.90147101358542392 	 -0.25545612922001698 	 -0.193454207293729 
16 	 0.28966840950727535 	 8.4664140894960802 	 0.25670097633228628 	 -4.4404229783405391 	 0.50534778442208028 	 -0.20631292722037409 	 -0.20172407531912606 
18 	 0.35555584486475905 	 8.9798727898234052 	 0.25674882966689694 	 -4.804509142225398 	 0.097944343577441306 	 -0.15787375031168543 	 -0.20491940591907826 
20 	 0.42147194536387506 	 9.49338731540624 	 0.25676212326778758 	 -5.0722398732956178 	 -0.3115295379464823 	 -0.10991127540652931 	 -0.20390214869126791 
22 	 0.48739153238743721 	 10.006908630519831 	 0.25675554672570278 	 -5.2442186332199379 	 -0.71517905017527683 	 -0.06203647198221611 	 -0.19914638541056087 
24 	 0.55328903307235988 	 10.520386933639857 	 0.25671384702621947 	 -5.3200239289373128 	 -1.1057274456499011 	 -0.013613158340305423 	 -0.19079847315679407 
26 	 0.61910443847069652 	 11.033705325936069 	 0.25658200126381991 	 -5.2977883954293548 	 -1.4758735524015716 	 0.036125202091946952 	 -0.17869414536716346 
28 	 0.68469108408103019 	 11.546577843550176 	 0.2562414531442091 	 -5.1743308400746875 	 -1.8177622842760326 	 0.087612685429807408 	 -0.16248303225802466 
30 	 0.74973591781751503 	 12.058392693206596 	 0.2554779640399954 	 -4.9466424868018013 	 -2.1229652554584302 	 0.14005902769139306 	 -0.14204777328716375 
32 	 0.81362876241464643 	 12.56795115122787 	 0.25389115076494323 	 -4.6156815335836416 	 -2.3838349692813687 	 0.18993250220065303 	 -0.11855936235403348 
34 	 0.87515086948350207 	 13.072832892926407 	 0.25059233978407058 	 -4.1943943920979745 	 -2.5982941200003067 	 0.22860209368727424 	 -0.096801703940267533 
36 	 0.93200734405958952 	 13.568378356476417 	 0.24447304670932796 	 -3.7112864860951329 	 -2.7748786123638682 	 0.25311839908888145 	 -0.080195147716990572 
38 	 0.9817501390365363 	 14.049344163690591 	 0.23629404788962208 	 -3.184872917600809 	 -2.9191704007876251 	 0.27254989910810051 	 -0.064172231380563077 
