DIM	SIZE	STATE	EPS	S	q[0]	p[0]	Q[0].re	Q[0].im	P[0].re	P[0].im	c[0].re	c[0].im	c[1].re	c[1].im	c[2].re	c[2].im	c[3].re	c[3].im	c[4].re	c[4].im	c[5].re	c[5].im	c[6].re	c[6].im	c[7].re	c[7].im	c[8].re	c[8].im	c[9].re	c[9].im	c[10].re	c[10].im	c[11].re	c[11].im	c[12].re	c[12].im	c[13].re	c[13].im	c[14].re	c[14].im	c[15].re	c[15].im	c[16].re	c[16].im	c[17].re	c[17].im	c[18].re	c[18].im	c[19].re	c[19].im	c[20].re	c[20].im	c[21].re	c[21].im	c[22].re	c[22].im	c[23].re	c[23].im	c[24].re	c[24].im	c[25].re	c[25].im	c[26].re	c[26].im	c[27].re	c[27].im	c[28].re	c[28].im	c[29].re	c[29].im	c[30].re	c[30].im	c[31].re	c[31].im	c[32].re	c[32].im	c[33].re	c[33].im	c[34].re	c[34].im	c[35].re	c[35].im	c[36].re	c[36].im	c[37].re	c[37].im	c[38].re	c[38].im	c[39].re	c[39].im	c[40].re	c[40].im	c[41].re	c[41].im	c[42].re	c[42].im	c[43].re	c[43].im	c[44].re	c[44].im	c[45].re	c[45].im	c[46].re	c[46].im	c[47].re	c[47].im	c[48].re	c[48].im	c[49].re	c[49].im
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.7888543819998322 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 8.8863125204289081e-05 	 0	 1.1886871615752151e-05 	 0	 -5.0052126322388599e-05 	 0	 -1.2314896077456528e-05 	 0	 3.4029861993442773e-05 	 0	 1.1587249421451271e-05 	 0	 -2.3948297504840768e-05 	 0	 -1.0472585562365427e-05 	 0	 1.6866875152667441e-05 	 0	 9.2342883919278972e-06 	 0	 -1.1667717720566312e-05 	 0	 -7.9915756401444873e-06 	 0	 7.775530711136654e-06 	 0	 6.8042637476746746e-06 	 0	 -4.8416936077924958e-06 	 0	 -5.7027758513619647e-06 	 0	 2.6330224091180348e-06 	 0	 4.7014026832469653e-06 	 0	 -9.8336188799777676e-07 	 0	 -3.8050418011441857e-06 	 0	 -2.3076000711211864e-07 	 0	 3.0129613788106487e-06 	 0	 1.1037522221261573e-06 	 0	 -2.3210447994219714e-06 	 0	 -1.7092306579057247e-06 	 0	 1.7231918396335737e-06 	 0	 2.1053749914838297e-06 	 0	 -1.2122206834261111e-06 	 0	 -2.3385827324733059e-06 	 0	 7.8045949098365247e-07 	 0	 2.4460679464279585e-06 	 0	 -4.2013731253638599e-07 	 0	 -2.4577728384228354e-06 	 0	 1.2364139904224202e-07 	 0	 2.3978127725069529e-06 	 0	 1.1631645892310915e-07 	 0	 -2.2855929363170491e-06 	 0	 -3.0659653790331415e-07 	 0	 2.1366867163218847e-06 	 0	 4.5357179066668342e-07 	 0	 -1.9635365432917876e-06 	 0	 -5.6309935666970062e-07 	 0	 1.776019476809917e-06 	 0	 6.4051374213869681e-07 	 0	 -1.5819077504087684e-06 	 0	 -6.9063506655482812e-07 	 0	 1.3872464194739018e-06 	 0	 7.1778759784497671e-07 	 0	 -1.1966646914148579e-06 	 0	 -7.2582509091288622e-07 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.6770509831248426 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.00023278540045437734 	 0	 2.9226532859055373e-05 	 0	 -0.00013136076583628573 	 0	 -3.0289107577777318e-05 	 0	 8.9512120046493341e-05 	 0	 2.8509979633644066e-05 	 0	 -6.3170709770170758e-05 	 0	 -2.5777990451014513e-05 	 0	 4.4653560247658176e-05 	 0	 2.2740436193835845e-05 	 0	 -3.1043246370159558e-05 	 0	 -1.9690411747524459e-05 	 0	 2.0839895889530054e-05 	 0	 1.6775075876874233e-05 	 0	 -1.3135340494793956e-05 	 0	 -1.4069370859749909e-05 	 0	 7.3224749835765061e-06 	 0	 1.1608596738388444e-05 	 0	 -2.9688552962630348e-06 	 0	 -9.404964507910573e-06 	 0	 -2.4682914468793037e-07 	 0	 7.456840678147719e-06 	 0	 2.5702697098430548e-06 	 0	 -5.7542605896141745e-06 	 0	 -4.1930863514105779e-06 	 0	 4.2823704455395389e-06 	 0	 5.2667743715646504e-06 	 0	 -3.0236435431293409e-06 	 0	 -5.9122110937310159e-06 	 0	 1.9593341847667545e-06 	 0	 6.2264124115047753e-06 	 0	 -1.0704388710002281e-06 	 0	 -6.2874998845743819e-06 	 0	 3.3832941441221094e-07 	 0	 6.1584536242358249e-06 	 0	 2.5483735676348094e-07 	 0	 -5.8900112232777625e-06 	 0	 -7.2586449961645764e-07 	 0	 5.5229473663684248e-06 	 0	 1.0903679576104669e-06 	 0	 -5.0898923195829763e-06 	 0	 -1.3627055003344649e-06 	 0	 4.6167992881822649e-06 	 0	 1.5559589391228389e-06 	 0	 -4.1241392354613477e-06 	 0	 -1.6819534078962898e-06 	 0	 3.627880709304263e-06 	 0	 1.7513019793250101e-06 	 0	 -3.140297739962474e-06 	 0	 -1.7734670582722292e-06 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.5652475842498532 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.00057306571379744909 	 0	 6.7225789593214333e-05 	 0	 -0.00032394585279866422 	 0	 -6.9691838125887276e-05 	 0	 0.00022120872523915055 	 0	 6.5621022358034573e-05 	 0	 -0.00015651995167913096 	 0	 -5.9355686272177985e-05 	 0	 0.00011101215553822383 	 0	 5.2384086212347921e-05 	 0	 -7.7528586651016903e-05 	 0	 -4.5380325882052303e-05 	 0	 5.2393435427807903e-05 	 0	 3.868308060088739e-05 	 0	 -3.3382711768988129e-05 	 0	 -3.246503145529799e-05 	 0	 1.9010498076530123e-05 	 0	 2.6807725348831955e-05 	 0	 -8.2187144945266436e-06 	 0	 -2.1739613995854654e-05 	 0	 2.213001191829136e-07 	 0	 1.7257297313217361e-05 	 0	 5.5828350371912542e-06 	 0	 -1.3338193043764694e-05 	 0	 -9.662587344194917e-06 	 0	 9.9484473196687941e-06 	 0	 1.2388795182532658e-05 	 0	 -7.0480289622315211e-06 	 0	 -1.4057491240413078e-05 	 0	 4.5940724300975078e-06 	 0	 1.4906417890702331e-05 	 0	 -2.5430888086032318e-06 	 0	 -1.5127161723170935e-05 	 0	 8.5242305656564529e-07 	 0	 1.4874317406622902e-05 	 0	 5.1880205705986179e-07 	 0	 -1.4272563601015765e-05 	 0	 -1.6090972842585613e-06 	 0	 1.3422225545386222e-05 	 0	 2.4542666833794414e-06 	 0	 -1.240371154150272e-05 	 0	 -3.0872419910961885e-06 	 0	 1.1281092400000485e-05 	 0	 3.5380395291453809e-06 	 0	 -1.0105016000135191e-05 	 0	 -3.8338024122385138e-06 	 0	 8.9150975770375553e-06 	 0	 3.9989011134216099e-06 	 0	 -7.7418909008230466e-06 	 0	 -4.0550727268124798e-06 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.4534441853748636 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.0013257699073892827 	 0	 0.00014456284827415078 	 0	 -0.00075065962349151285 	 0	 -0.0001499098985075966 	 0	 0.00051359648083272992 	 0	 0.00014119906052367028 	 0	 -0.00036428276987936041 	 0	 -0.00012776353113228765 	 0	 0.00025916955191087671 	 0	 0.00011280240245565711 	 0	 -0.00018175451580342141 	 0	 -9.7765145911119162e-05 	 0	 0.00012356949323858281 	 0	 8.3380423632216862e-05 	 0	 -7.9494645461577207e-05 	 0	 -7.0020174185521432e-05 	 0	 4.611100054136496e-05 	 0	 5.7860459756812474e-05 	 0	 -2.0984760750191664e-05 	 0	 -4.6963193215766219e-05 	 0	 2.3080551857257653e-06 	 0	 3.7321778732776069e-05 	 0	 1.1301622929571772e-05 	 0	 -2.8888332756026491e-05 	 0	 -2.0922935585777806e-05 	 0	 2.1590681557733131e-05 	 0	 2.7409244194135871e-05 	 0	 -1.5343309239237443e-05 	 0	 -3.1442077363585883e-05 	 0	 1.0054543845252488e-05 	 0	 3.3569084786900946e-05 	 0	 -5.6313120594480681e-06 	 0	 -3.4231908780603008e-05 	 0	 1.9822748372781387e-06 	 0	 3.37872230493232e-05 	 0	 9.8013964389598665e-07 	 0	 -3.2522971874406756e-05 	 0	 -3.3384663066118494e-06 	 0	 3.0671132643466494e-05 	 0	 5.1694673846407335e-06 	 0	 -2.8417892733091945e-05 	 0	 -6.5437718957204855e-06 	 0	 2.5911859552290614e-05 	 0	 7.5257785964789851e-06 	 0	 -2.3270745421423588e-05 	 0	 -8.1737424594779953e-06 	 0	 2.0586850322044509e-05 	 0	 8.5399868065050546e-06 	 0	 -1.7931583983112812e-05 	 0	 -8.6711988707458129e-06 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.3416407864998741 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.0028823546519893589 	 0	 0.00029039151065484559 	 0	 -0.0016344732509711 	 0	 -0.00030121449655437922 	 0	 0.0011203191991981177 	 0	 0.00028379682635422404 	 0	 -0.00079638761320032587 	 0	 -0.00025687802081352293 	 0	 0.00056820085495563107 	 0	 0.0002268819156644528 	 0	 -0.00039999142497022783 	 0	 -0.00019671990791094435 	 0	 0.00027342070598479468 	 0	 0.00016785639327569828 	 0	 -0.00017740868478017518 	 0	 -0.00014103962868334464 	 0	 0.00010455980864319044 	 0	 0.0001166245883310281 	 0	 -4.9611085068573879e-05 	 0	 -9.4736998786387088e-05 	 0	 8.6535320771938939e-06 	 0	 7.5364942846811833e-05 	 0	 2.130221111076716e-05 	 0	 -5.8413495349123452e-05 	 0	 -4.2588911249007803e-05 	 0	 4.3738842135643677e-05 	 0	 5.7052642165881718e-05 	 0	 -3.1170259211314205e-05 	 0	 -6.6168372519769298e-05 	 0	 2.0524543056893357e-05 	 0	 7.1121969494700163e-05 	 0	 -1.1615561945943254e-05 	 0	 -7.2870388508824584e-05 	 0	 4.2605582963966806e-06 	 0	 7.2187087963233613e-05 	 0	 1.7157618679462948e-06 	 0	 -6.9697071372676141e-05 	 0	 -6.4786713809118795e-06 	 0	 6.5904420002870249e-05 	 0	 1.0181936126383265e-05 	 0	 -6.1214243469937679e-05 	 0	 -1.2967082720026951e-05 	 0	 5.5950386254465002e-05 	 0	 1.4963195428689615e-05 	 0	 -5.0369844609654451e-05 	 0	 -1.6287081907169149e-05 	 0	 4.4674591599703836e-05 	 0	 1.7043691652027453e-05 	 0	 -3.9021331553231821e-05 	 0	 -1.7326702440765537e-05 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.2298373876248845 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.0058890149027285166 	 0	 0.00054433812133158671 	 0	 -0.0033440821556132978 	 0	 -0.00056476754804124854 	 0	 0.0022959477635592211 	 0	 0.00053225687303058223 	 0	 -0.0016354192328253841 	 0	 -0.00048191842871676837 	 0	 0.0011698473561165669 	 0	 0.00042578959793420631 	 0	 -0.00082636204867226834 	 0	 -0.00036932737258807457 	 0	 0.00056763081318257755 	 0	 0.00031527794894263588 	 0	 -0.00037111186672809119 	 0	 -0.00026504586920848676 	 0	 0.00022176603290743356 	 0	 0.00021929878833598423 	 0	 -0.00010889370743045775 	 0	 -0.00017827472482856996 	 0	 2.4548869739402138e-05 	 0	 0.00014195363891855438 	 0	 3.7345316243966265e-05 	 0	 -0.00011015977037968256 	 0	 -8.1531701782504399e-05 	 0	 8.2625551305896987e-05 	 0	 0.00011176466092551426 	 0	 -5.9032783994091448e-05 	 0	 -0.00013104501551776759 	 0	 3.9039682142762479e-05 	 0	 0.00014178661601357243 	 0	 -2.2298775246692588e-05 	 0	 -0.00014593855309205818 	 0	 8.4687285781882192e-06 	 0	 0.0001450773330155262 	 0	 2.7779812074275763e-06 	 0	 -0.00014047797732367828 	 0	 -1.1750259805227197e-05 	 0	 0.00013316987207261872 	 0	 1.8735596693453693e-05 	 0	 -0.0001239812864136624 	 0	 -2.3998678426676765e-05 	 0	 0.00011357528020123031 	 0	 2.7780993923343404e-05 	 0	 -0.0001024789399055618 	 0	 -3.0301131385688953e-05 	 0	 9.1107359787161415e-05 	 0	 3.1755549460772722e-05 	 0	 -7.9783426451985912e-05 	 0	 -3.2319663973656662e-05 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.1180339887498951 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.011307179428015918 	 0	 0.00095089754026286084 	 0	 -0.0064289586560260757 	 0	 -0.00098681192708677148 	 0	 0.0044206201566687718 	 0	 0.00093024103534024045 	 0	 -0.0031546710246063438 	 0	 -0.00084249844112675829 	 0	 0.0022618842765817332 	 0	 0.00074460557714750271 	 0	 -0.0016027102755735883 	 0	 -0.00064609452832363728 	 0	 0.001105707056460459 	 0	 0.00055176448717470352 	 0	 -0.00072776209544190456 	 0	 -0.0004640721197241098 	 0	 0.00044012395538915153 	 0	 0.00038418734468758053 	 0	 -0.00022234262450661718 	 0	 -0.00031252969471352632 	 0	 5.923257447481706e-05 	 0	 0.00024906783171187071 	 0	 6.0819862117364316e-05 	 0	 -0.00019349819671298608 	 0	 -0.00014688024160956032 	 0	 0.00014535658938317933 	 0	 0.0002061265533480562 	 0	 -0.00010409006599720611 	 0	 -0.00024429811844972171 	 0	 6.9104163937800097e-05 	 0	 0.00026601374247563756 	 0	 -3.9794179378333427e-05 	 0	 -0.00027500502738203792 	 0	 1.5565825385161085e-05 	 0	 0.00027429227719627649 	 0	 4.151343858294853e-06 	 0	 -0.00026632014258022146 	 0	 -1.9895517643697334e-05 	 0	 0.00025306414592066992 	 0	 3.2167718550381724e-05 	 0	 -0.00023611558112347802 	 0	 -4.142935773303868e-05 	 0	 0.00021674998561959459 	 0	 4.8101523013268259e-05 	 0	 -0.00019598288905061054 	 0	 -5.2565475627896879e-05 	 0	 0.00017461554415726331 	 0	 5.5163976256995383e-05 	 0	 -0.00015327265934757722 	 0	 -5.6203163410862211e-05 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.0062305898749055 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.020402467258949026 	 0	 0.0015453196785981209 	 0	 -0.011613659701665233 	 0	 -0.001604018227021537 	 0	 0.0079966080929564868 	 0	 0.0015124102552558421 	 0	 -0.0057161142486590382 	 0	 -0.0013701025596263964 	 0	 0.0041070446961529831 	 0	 0.0012112478158062196 	 0	 -0.0029181942480881158 	 0	 -0.0010513357872738744 	 0	 0.0020210437115820547 	 0	 0.00089816850781597305 	 0	 -0.00133807754089356 	 0	 -0.00075574288791696565 	 0	 0.00081762071569864436 	 0	 0.00062596547768144976 	 0	 -0.00042292688762552978 	 0	 -0.0005095235697836364 	 0	 0.00012671202966761948 	 0	 0.00040637163408382461 	 0	 9.1890768917386945e-05 	 0	 -0.00031602146371098952 	 0	 -0.00024917223254369175 	 0	 0.00023772340329644749 	 0	 0.00035803412127927777 	 0	 -0.00017058313976459126 	 0	 -0.0004287956726608034 	 0	 0.00011363842782698919 	 0	 0.00046976490870838134 	 0	 -6.590992087011273e-05 	 0	 -0.00048765743013996082 	 0	 2.6434757337975377e-05 	 0	 0.00048791206030848261 	 0	 5.7116001238674204e-06 	 0	 -0.00047493417788729836 	 0	 -3.1401660138895018e-05 	 0	 0.00045228677175356344 	 0	 5.1447891508576587e-05 	 0	 -0.00042284268811753495 	 0	 -6.659871749824791e-05 	 0	 0.00038890740828502772 	 0	 7.7537325982667996e-05 	 0	 -0.0003523190102336822 	 0	 -8.4882444462990262e-05 	 0	 0.00031453017113298212 	 0	 8.9190463984014084e-05 	 0	 -0.00027667583484972813 	 0	 -9.0958462300327271e-05 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -0.89442719099991608 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.03459618554106475 	 0	 0.0023307329658444355 	 0	 -0.019713444125529563 	 0	 -0.0024197158205450614 	 0	 0.013590337453891523 	 0	 0.002281988837287459 	 0	 -0.0097290602837742275 	 0	 -0.0020677370556622847 	 0	 0.0070034155233870687 	 0	 0.0018284583567401878 	 0	 -0.0049883428981461145 	 0	 -0.0015875138770215849 	 0	 0.0034665057460139086 	 0	 0.00135667481118063 	 0	 -0.0023068812043953364 	 0	 -0.0011419756388569248 	 0	 0.001422153928446489 	 0	 0.00094629906765635768 	 0	 -0.00075024656680017568 	 0	 -0.00077068913805574334 	 0	 0.00024507097860846787 	 0	 0.00061508446721229891 	 0	 0.00012862191286472724 	 0	 -0.00047875561830499101 	 0	 -0.00039835418382972901 	 0	 0.00036057830133197713 	 0	 0.00058592700210463404 	 0	 -0.00025920945308765528 	 0	 -0.0007087827195316177 	 0	 0.00017320293174212319 	 0	 0.00078096943568170237 	 0	 -0.00010108618395253588 	 0	 -0.000813847816660952 	 0	 4.1410921212322718e-05 	 0	 0.00081662366019668534 	 0	 7.2139099055872771e-06 	 0	 -0.00079675835240420202 	 0	 -4.6101419401735845e-05 	 0	 0.00076029107989096143 	 0	 7.6474648652655541e-05 	 0	 -0.00071209555874690513 	 0	 -9.946048456308871e-05 	 0	 0.00065608705481212659 	 0	 0.00011608782054089592 	 0	 -0.00059539092972287703 	 0	 -0.00012728868188616502 	 0	 0.0005324809114567227 	 0	 0.00013390138731213559 	 0	 -0.00046929320445864708 	 0	 -0.00013667506891961234 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -0.78262379212492661 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.055130404569754141 	 0	 0.0032517116576230246 	 0	 -0.031442786120465194 	 0	 -0.003376411013594309 	 0	 0.021699855501925037 	 0	 0.0031848053943480028 	 0	 -0.015554828665845457 	 0	 -0.002886366606681263 	 0	 0.011215403656461644 	 0	 0.0025529256681859269 	 0	 -0.008005503923317692 	 0	 -0.0022170730967505945 	 0	 0.0055796276341716919 	 0	 0.001895236039041272 	 0	 -0.0037295747765519632 	 0	 -0.0015958410150122761 	 0	 0.0023166403117675879 	 0	 0.0013229186221072491 	 0	 -0.0012422294886928909 	 0	 -0.0010779345974493192 	 0	 0.00043314829953483883 	 0	 0.00086081227883817962 	 0	 0.00016658439065995309 	 0	 -0.00067054249748430125 	 0	 -0.00060068256499755791 	 0	 0.00050556456372203337 	 0	 0.00090377990209359151 	 0	 -0.00036401183777393781 	 0	 -0.0011035927542615619 	 0	 0.00024387310733280456 	 0	 0.0012224513170878372 	 0	 -0.0001430995508314004 	 0	 -0.001278421295015163 	 0	 5.9675462384995513e-05 	 0	 0.001286148810826797 	 0	 8.3357114388394629e-06 	 0	 -0.0012575114466417325 	 0	 -6.2762433153111909e-05 	 0	 0.0012021292292311986 	 0	 0.00010530810569895187 	 0	 -0.0011277717193280911 	 0	 -0.00013754252737681349 	 0	 0.0010406862568075566 	 0	 0.00016089927145468124 	 0	 -0.00094586519794798781 	 0	 -0.00017667720265862773 	 0	 0.00084726515707761951 	 0	 0.0001860448363907202 	 0	 -0.00074798795481060773 	 0	 -0.00019004659584253355 	 0
