DIM	SIZE	STATE	EPS	S	q[0]	p[0]	Q[0].re	Q[0].im	P[0].re	P[0].im	c[0].re	c[0].im	c[1].re	c[1].im	c[2].re	c[2].im	c[3].re	c[3].im	c[4].re	c[4].im	c[5].re	c[5].im	c[6].re	c[6].im	c[7].re	c[7].im	c[8].re	c[8].im	c[9].re	c[9].im	c[10].re	c[10].im	c[11].re	c[11].im	c[12].re	c[12].im	c[13].re	c[13].im	c[14].re	c[14].im	c[15].re	c[15].im	c[16].re	c[16].im	c[17].re	c[17].im	c[18].re	c[18].im	c[19].re	c[19].im	c[20].re	c[20].im	c[21].re	c[21].im	c[22].re	c[22].im	c[23].re	c[23].im	c[24].re	c[24].im	c[25].re	c[25].im	c[26].re	c[26].im	c[27].re	c[27].im	c[28].re	c[28].im	c[29].re	c[29].im	c[30].re	c[30].im	c[31].re	c[31].im	c[32].re	c[32].im	c[33].re	c[33].im	c[34].re	c[34].im	c[35].re	c[35].im	c[36].re	c[36].im	c[37].re	c[37].im	c[38].re	c[38].im	c[39].re	c[39].im	c[40].re	c[40].im	c[41].re	c[41].im	c[42].re	c[42].im	c[43].re	c[43].im	c[44].re	c[44].im	c[45].re	c[45].im	c[46].re	c[46].im	c[47].re	c[47].im	c[48].re	c[48].im	c[49].re	c[49].im
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.7888543819998322 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 9.3729589826234929e-05 	 0	 1.3146515943610637e-05 	 0	 -5.2101197316763082e-05 	 0	 -1.3523290443102353e-05 	 0	 3.4871452691477978e-05 	 0	 1.263592641226092e-05 	 0	 -2.406408993062862e-05 	 0	 -1.1341873682738734e-05 	 0	 1.6513291027670935e-05 	 0	 9.9312674814254064e-06 	 0	 -1.1005828338171632e-05 	 0	 -8.532361691374441e-06 	 0	 6.913991296819761e-06 	 0	 7.2070781947315691e-06 	 0	 -3.8566409805961524e-06 	 0	 -5.984925702202044e-06 	 0	 1.5791580403528526e-06 	 0	 4.8779953923431711e-06 	 0	 9.9172312070514106e-08 	 0	 -3.8885589754504016e-06 	 0	 -1.3118344472892198e-06 	 0	 3.0132803584510494e-06 	 0	 2.1601308078522413e-06 	 0	 -2.2456943421176732e-06 	 0	 -2.722393642977127e-06 	 0	 1.5777226889040036e-06 	 0	 3.0599943829512939e-06 	 0	 -1.000621509858715e-06 	 0	 -3.2214653840183732e-06 	 0	 5.0557673640024675e-07 	 0	 3.2454411162435757e-06 	 0	 -8.4074161785734739e-08 	 0	 -3.1628235033341637e-06 	 0	 -2.7187854196753638e-07 	 0	 2.9984156683515517e-06 	 0	 5.6962858599130791e-07 	 0	 -2.7721784119321416e-06 	 0	 -8.1582127038817832e-07 	 0	 2.5002109156742066e-06 	 0	 1.0163878566408032e-06 	 0	 -2.1955248117220908e-06 	 0	 -1.1765631435682646e-06 	 0	 1.8686602088272268e-06 	 0	 1.3009223094660172e-06 	 0	 -1.5281787735371525e-06 	 0	 -1.3934296632774821e-06 	 0	 1.1810598402060363e-06 	 0	 1.4574940882745062e-06 	 0	 -8.3301918268398633e-07 	 0	 -1.4960274758096362e-06 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.6770509831248426 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.00024546519354271158 	 0	 3.2318089594464204e-05 	 0	 -0.00013672421914540854 	 0	 -3.325726019859431e-05 	 0	 9.1737387811614805e-05 	 0	 3.1088036283318111e-05 	 0	 -6.3505914400536256e-05 	 0	 -2.7916970681618128e-05 	 0	 4.3763286901893486e-05 	 0	 2.4457022718151826e-05 	 0	 -2.9345538535552606e-05 	 0	 -2.1023545346245567e-05 	 0	 1.8617406851619501e-05 	 0	 1.7768971866803668e-05 	 0	 -1.0586744055412255e-05 	 0	 -1.4766114172601084e-05 	 0	 4.5910520763622152e-06 	 0	 1.2044984913059388e-05 	 0	 -1.6020446681009116e-07 	 0	 -9.6114535447647008e-06 	 0	 -3.0530907498747668e-06 	 0	 7.4575876075564414e-06 	 0	 5.3124860467082194e-06 	 0	 -5.5677395035675857e-06 	 0	 -6.8219652396190937e-06 	 0	 3.9222702318747096e-06 	 0	 7.7414673097103449e-06 	 0	 -2.4998772367214387e-06 	 0	 -8.1975937682036296e-06 	 0	 1.2790584700795375e-06 	 0	 8.2912436284378167e-06 	 0	 -2.3902311712295177e-07 	 0	 -8.1032308941911315e-06 	 0	 -6.3976104868053215e-07 	 0	 7.6985208483816191e-06 	 0	 1.3752628347273873e-06 	 0	 -7.1294869015721156e-06 	 0	 -1.9837459802557659e-06 	 0	 6.4384520327264755e-06 	 0	 2.4797372549137368e-06 	 0	 -5.6596945611399428e-06 	 0	 -2.87606759099718e-06 	 0	 4.8210444703681974e-06 	 0	 3.1839606389966131e-06 	 0	 -3.9451613897931332e-06 	 0	 -3.4131506925510928e-06 	 0	 3.050561603715226e-06 	 0	 3.5720171799315266e-06 	 0	 -2.1524449745053646e-06 	 0	 -3.6677266330283921e-06 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.5652475842498532 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.00060412258758120744 	 0	 7.4324919507575348e-05 	 0	 -0.00033713926893516068 	 0	 -7.6512711257185515e-05 	 0	 0.00022673416860342858 	 0	 7.15502023446501e-05 	 0	 -0.00015741851957966392 	 0	 -6.4279191309322468e-05 	 0	 0.00010890348611213733 	 0	 5.6338732480987385e-05 	 0	 -7.3432831843003101e-05 	 0	 -4.8454214553218854e-05 	 0	 4.7001855913670864e-05 	 0	 4.0976655726347402e-05 	 0	 -2.718259893980663e-05 	 0	 -3.4074090558778127e-05 	 0	 1.2354521648003331e-05 	 0	 2.7816163667353178e-05 	 0	 -1.3678295106763924e-06 	 0	 -2.2216986802383316e-05 	 0	 -6.6269323221199011e-06 	 0	 1.7258895227166005e-05 	 0	 1.2274847453514564e-05 	 0	 -1.290643182196782e-05 	 0	 -1.6075270032943845e-05 	 0	 9.1149039719557427e-06 	 0	 1.8420014543296783e-05 	 0	 -5.8357347330031005e-06 	 0	 -1.9619507748088809e-05 	 0	 3.0198303285440287e-06 	 0	 1.992142361347943e-05 	 0	 -6.1967689145098406e-07 	 0	 -1.9524386019775621e-05 	 0	 -1.4093973539476196e-06 	 0	 1.8588297440579639e-05 	 0	 3.1085170108703785e-06 	 0	 -1.7242276838339056e-05 	 0	 -4.5149293744815787e-06 	 0	 1.5590852531957655e-05 	 0	 5.6619265714983949e-06 	 0	 -1.3718849328344137e-05 	 0	 -6.5789356907612458e-06 	 0	 1.1695278189784072e-05 	 0	 7.2917181092217239e-06 	 0	 -9.5764507873645859e-06 	 0	 -7.8226365624421492e-06 	 0	 7.4084832455550662e-06 	 0	 8.1909605606643052e-06 	 0	 -5.2293130974498774e-06 	 0	 -8.4131892748877964e-06 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.4534441853748636 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.0013972778360025388 	 0	 0.0001598049566563179 	 0	 -0.00078115949749611561 	 0	 -0.00016456481362362024 	 0	 0.00052648095951081657 	 0	 0.00015394763977460331 	 0	 -0.00036651953528830754 	 0	 -0.00013835803002908078 	 0	 0.00025447023748133778 	 0	 0.00012131887869495376 	 0	 -0.00017245987220011915 	 0	 -0.00010439011718676001 	 0	 0.00011126886941428329 	 0	 8.8327371599998775e-05 	 0	 -6.531146499795858e-05 	 0	 -7.3493096389015702e-05 	 0	 3.0860988824819849e-05 	 0	 6.0038278405273909e-05 	 0	 -5.2737212382437907e-06 	 0	 -4.7994487130581005e-05 	 0	 -1.3403652424941114e-05 	 0	 3.7324899989884183e-05 	 0	 2.6654939184356153e-05 	 0	 -2.7954340854590569e-05 	 0	 -3.5629308975717421e-05 	 0	 1.9787664187764523e-05 	 0	 4.1229058184412666e-05 	 0	 -1.2721255684689867e-05 	 0	 -4.4169664936489547e-05 	 0	 6.6502735847409653e-06 	 0	 4.5022554241507741e-05 	 0	 -1.4731613698351947e-06 	 0	 -4.4246526708769945e-05 	 0	 -2.9056316741414703e-06 	 0	 4.2211437933124754e-05 	 0	 6.5741263988507198e-06 	 0	 -3.9216390779464071e-05 	 0	 -9.6120952199896915e-06 	 0	 3.5503925378917606e-05 	 0	 1.2090885713092207e-05 	 0	 -3.1271216261735048e-05 	 0	 -1.4073605461196e-05 	 0	 2.6678984513948218e-05 	 0	 1.5615541945268747e-05 	 0	 -2.1858635197415618e-05 	 0	 -1.6764728493323961e-05 	 0	 1.6917996821220718e-05 	 0	 1.7562593168217356e-05 	 0	 -1.1945947083711586e-05 	 0	 -1.8044645764631925e-05 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.3416407864998741 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.0030371312438322519 	 0	 0.00032096474338824796 	 0	 -0.0017007360021700718 	 0	 -0.00033062893749572934 	 0	 0.0011485349556103184 	 0	 0.00030940262960160242 	 0	 -0.00080156840248050271 	 0	 -0.00027817262870122414 	 0	 0.00055834501542507162 	 0	 0.00024401232941306103 	 0	 -0.00038014904387340679 	 0	 -0.00021005534495146115 	 0	 0.00024702729362010629 	 0	 0.00017782101967843178 	 0	 -0.0001468987379475712 	 0	 -0.00014803950354456738 	 0	 7.1706378239568539e-05 	 0	 0.00012101636616796499 	 0	 -1.5735362528421377e-05 	 0	 -9.681729869552474e-05 	 0	 -2.5237059337494837e-05 	 0	 7.5370498456634521e-05 	 0	 5.4419526791678579e-05 	 0	 -5.6526947531432114e-05 	 0	 -7.4298188374909786e-05 	 0	 4.009731101548733e-05 	 0	 8.6826325442992364e-05 	 0	 -2.5875026805922559e-05 	 0	 -9.3554019316878303e-05 	 0	 1.3650851285521226e-05 	 0	 9.5720429875919066e-05 	 0	 -3.2219313835342301e-06 	 0	 -9.4321576845869147e-05 	 0	 -5.602718664246859e-06 	 0	 9.0161386821842657e-05 	 0	 1.2999141262199121e-05 	 0	 -8.3890899183680244e-05 	 0	 -1.9126975934211347e-05 	 0	 7.6038840660218486e-05 	 0	 2.4129088283062842e-05 	 0	 -6.7035749311225736e-05 	 0	 -2.8131924621238707e-05 	 0	 5.7233176291186577e-05 	 0	 3.1246339169090679e-05 	 0	 -4.6919066329358804e-05 	 0	 -3.356871535643037e-05 	 0	 3.6330129403189024e-05 	 0	 3.5182254620401799e-05 	 0	 -2.5661816099040119e-05 	 0	 -3.6158342762535004e-05 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.2298373876248845 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.006203945247977306 	 0	 0.00060157096957790088 	 0	 -0.0034793747275061156 	 0	 -0.00061986393491264384 	 0	 0.0023539775421156663 	 0	 0.0005802496489757358 	 0	 -0.0016466014536796368 	 0	 -0.00052185711050977389 	 0	 0.0011503900254272515 	 0	 0.00045793978408774859 	 0	 -0.00078650993777572233 	 0	 -0.00039437177426260978 	 0	 0.00051436564466788225 	 0	 0.00033400363178754826 	 0	 -0.00030939259097536269 	 0	 -0.00027820758550480354 	 0	 0.0001552142866416785 	 0	 0.00022756034615652813 	 0	 -4.0216417994081624e-05 	 0	 -0.00018218897649364222 	 0	 -4.4183528101620479e-05 	 0	 0.00014196261647396178 	 0	 0.00010450860677063913 	 0	 -0.00010660536921886481 	 0	 -0.00014581521840992533 	 0	 7.5765413206316809e-05 	 0	 0.00017207830962606693 	 0	 -4.9058262950324855e-05 	 0	 -0.00018645460932572075 	 0	 2.609403423076545e-05 	 0	 0.00019146985501054491 	 0	 -6.4944619641530655e-06 	 0	 -0.00018915624853737685 	 0	 -1.0096813256722214e-05 	 0	 0.00018115593513634524 	 0	 2.4008453951339702e-05 	 0	 -0.00016880045572119937 	 0	 -3.5538662153822716e-05 	 0	 0.00015317269587850982 	 0	 4.4954455121717071e-05 	 0	 -0.00013515576113515388 	 0	 -5.2492301320617469e-05 	 0	 0.00011547188111851973 	 0	 5.8359642965006338e-05 	 0	 -9.4713576210326319e-05 	 0	 -6.2736971074139018e-05 	 0	 7.3368734098854234e-05 	 0	 6.5780216038373467e-05 	 0	 -5.1840837432175408e-05 	 0	 -6.7623285306553325e-05 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.1180339887498951 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.011909579753837661 	 0	 0.00105075480389404 	 0	 -0.0066885640878618256 	 0	 -0.0010829938565977237 	 0	 0.0045327065229105378 	 0	 0.0010140705417506454 	 0	 -0.003177188022507165 	 0	 -0.00091230168829912312 	 0	 0.0022257179057150948 	 0	 0.00080083067735436421 	 0	 -0.0015274026349120628 	 0	 -0.00068991915249663749 	 0	 0.0010045975906735542 	 0	 0.00058455076092578503 	 0	 -0.00061034567356243151 	 0	 -0.00048712831710130163 	 0	 0.00031335241686659341 	 0	 0.00039866552422573035 	 0	 -9.142638594782081e-05 	 0	 -0.00031939060709673385 	 0	 -7.1832041685720887e-05 	 0	 0.00024908092399553362 	 0	 0.00018889015723235373 	 0	 -0.00018725999650162677 	 0	 -0.00026941584591310265 	 0	 0.00013331815531875027 	 0	 0.00032101328980055805 	 0	 -8.6588078179931352e-05 	 0	 -0.00034972542919835557 	 0	 4.6392418126714315e-05 	 0	 0.00036039114775618841 	 0	 -1.207355144200031e-05 	 0	 -0.00035690738786850522 	 0	 -1.6988420448837375e-05 	 0	 0.00034242640349017254 	 0	 4.1365514264733623e-05 	 0	 -0.00031950717191866416 	 0	 -6.1576992950678977e-05 	 0	 0.00029023342914859956 	 0	 7.808805452698582e-05 	 0	 -0.00025630678826280028 	 0	 -9.1310897196523663e-05 	 0	 0.00021912086290710054 	 0	 0.00010160733432915285 	 0	 -0.00017982065685648603 	 0	 -0.0001092923765712153 	 0	 0.00013935036069646992 	 0	 0.0001146383675706401 	 0	 -9.8491920905468259e-05 	 0	 -0.00011787937947544364 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -1.0062305898749055 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.021485696621115321 	 0	 0.0017074199923587966 	 0	 -0.012081816154973087 	 0	 -0.0017602291063808324 	 0	 0.0081999396214821711 	 0	 0.0016486303564773016 	 0	 -0.0057584516541318272 	 0	 -0.0014835919469059907 	 0	 0.0040437360689483922 	 0	 0.0013027114326252492 	 0	 -0.0027842914595284708 	 0	 -0.0011226655358634891 	 0	 0.0018405086442767069 	 0	 0.0009515592260506522 	 0	 -0.0011279989483334496 	 0	 -0.00079330571523723652 	 0	 0.00059053896068043423 	 0	 0.00064956158553982984 	 0	 -0.00018826435245573728 	 0	 -0.00052070693439240407 	 0	 -0.00010828656106424579 	 0	 0.00040638870123800688 	 0	 0.00032151584584912634 	 0	 -0.00030584061499190905 	 0	 -0.00046880154848986353 	 0	 0.00021807913194088257 	 0	 0.00056381881486254224 	 0	 -0.00014202614414530158 	 0	 -0.00061744168216845013 	 0	 7.6586379429744488e-05 	 0	 0.000638383824924835 	 0	 -2.0695774079382032e-05 	 0	 -0.0006336685623470217 	 0	 -2.6649224239023324e-05 	 0	 0.0006089824400936463 	 0	 6.6375091655894382e-05 	 0	 -0.00056894657298660247 	 0	 -9.932324564515199e-05 	 0	 0.00051732814064908781 	 0	 0.00012624784677292368 	 0	 -0.00045720722574875362 	 0	 -0.00014781746215405974 	 0	 0.00039110962314296144 	 0	 0.0001646192493488337 	 0	 -0.00032111326333389786 	 0	 -0.00017716471480722296 	 0	 0.00024893388181073235 	 0	 0.00018589637561122058 	 0	 -0.00017599417296858941 	 0	 -0.00019119484745084837 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -0.89442719099991608 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.036427331727442849 	 0	 0.0025749792482048155 	 0	 -0.020506872211906484 	 0	 -0.0026551917439753044 	 0	 0.013936765685147021 	 0	 0.0024874259213797938 	 0	 -0.0098034421779461013 	 0	 -0.002238976144998875 	 0	 0.0068990246742656166 	 0	 0.0019665312848024539 	 0	 -0.0047642983452535377 	 0	 -0.0016952445241544612 	 0	 0.0031632758888828468 	 0	 0.0014373482469320362 	 0	 -0.0019533766520917427 	 0	 -0.0011987558439828811 	 0	 0.001039633541072845 	 0	 0.00098197826976571009 	 0	 -0.00035471875115995906 	 0	 -0.00078760123054434454 	 0	 -0.00015112875266548814 	 0	 0.00061510404182981337 	 0	 0.00051575345810072682 	 0	 -0.00046334185386447 	 0	 -0.00076852194489547326 	 0	 0.00033084100583111398 	 0	 0.00093255342041180609 	 0	 -0.00021598403425485653 	 0	 -0.0010262415311463305 	 0	 0.00011712640965054508 	 0	 0.0010643351730103296 	 0	 -3.2669533653715959e-05 	 0	 -0.0010587310017864848 	 0	 -3.8895000377566698e-05 	 0	 0.0010190694497237164 	 0	 9.896034385080967e-05 	 0	 -0.00095319201233510186 	 0	 -0.00014879226564894695 	 0	 0.00086749762491579474 	 0	 0.00018952574555528229 	 0	 -0.00076722377279693922 	 0	 -0.00022216739212238388 	 0	 0.0006566702705901598 	 0	 0.00024760166430599028 	 0	 -0.00053937860285048088 	 0	 -0.00026659947176812577 	 0	 0.00041827632088338511 	 0	 0.00027982814245006637 	 0	 -0.0002957936389022534 	 0	 -0.00028786203850750139 	 0
1 	 50 	 1 	 0.10000000000000001 	 0 	 -0.78262379212492661 	 0 	 0.35355339059327379 	 0	 0 	 2.8284271247461898	 0.058040421725165228 	 0	 0.003592173001664777 	 0	 -0.032706547716867283 	 0	 -0.0037047746099051313 	 0	 0.022254205693492523 	 0	 0.0034713985034453146 	 0	 -0.015677001411541366 	 0	 -0.0031253538325195134 	 0	 0.011053219744474355 	 0	 0.0027457079503610819 	 0	 -0.0076527248108908246 	 0	 -0.0023675537766154804 	 0	 0.0051005112275912994 	 0	 0.0020079671603987041 	 0	 -0.0031700972170253298 	 0	 -0.0016752120233979953 	 0	 0.001710669865061716 	 0	 0.0013728067886163591 	 0	 -0.00061531907868638729 	 0	 -0.001101583895158556 	 0	 -0.00019497436267317694 	 0	 0.0008608314641357453 	 0	 0.00078031663842373291 	 0	 -0.00064896565931194482 	 0	 -0.0011873620722773065 	 0	 0.00046394254017477688 	 0	 0.0014528539834315736 	 0	 -0.00030351609313322106 	 0	 -0.0016060394245406937 	 0	 0.00016540109346776478 	 0	 0.0016703834887402183 	 0	 -4.7374994761746992e-05 	 0	 -0.0016648259142141666 	 0	 -5.2660241884507921e-05 	 0	 0.0016047258722766391 	 0	 0.00013664308266999483 	 0	 -0.0015025866989647602 	 0	 -0.00020633539377076728 	 0	 0.0013686206258059573 	 0	 0.0002633175765865005 	 0	 -0.0012111942157045222 	 0	 -0.00030899182894529847 	 0	 0.001037182962142925 	 0	 0.00034459071594793996 	 0	 -0.00085225550012360573 	 0	 -0.00037118906414353783 	 0	 0.00066110248221609594 	 0	 0.00038971776923712624 	 0	 -0.00046762144043348985 	 0	 -0.00040097851511927831 	 0
