eps 	 delta 	 energy_up_error_goddard 	 energy_down_error_goddard 	             energy_up_error_lasser 	 energy_down_error_lasser 
0.1000 	 0.0500 	 26.357945146384 	 24.406499994954 	 26.356417472389 	 24.388985565329 
0.1000 	 0.1000 	 24.264927558068 	 22.855008030673 	 24.255346234810 	 22.823746499633 
0.1000 	 0.2000 	 31.418574095170 	 10.142954425894 	 31.403748373746 	 10.096286430184 
0.1000 	 0.5000 	 10.823375124221 	 40.092805778087 	 10.820357372783 	 40.043428197453 
0.1000 	 1.0000 	 10.041062228349 	 40.899857411635 	 10.040646432154 	 40.930937418999 
0.0900 	 0.0500 	 30.182517898097 	 17.728967347686 	 30.181100165638 	 17.711298812490 
0.0900 	 0.1000 	 26.293771617384 	 17.610839269296 	 26.283953273418 	 17.579755265188 
0.0900 	 0.2000 	 13.320478435647 	 26.987588365096 	 13.306467391149 	 26.940495644042 
0.0900 	 0.5000 	 9.899865936488 	 35.646344907642 	 9.897532156564 	 35.590136844654 
0.0900 	 1.0000 	 10.010793953544 	 34.752862059941 	 10.010346939360 	 34.771817191349 
0.0800 	 0.0500 	 27.387979767652 	 16.154399284329 	 27.387165973495 	 16.136846785644 
0.0800 	 0.1000 	 29.145950601922 	 12.151010344526 	 29.135618289966 	 12.119920447401 
0.0800 	 0.2000 	 15.121808768621 	 18.729287394658 	 15.107953707277 	 18.683542327161 
0.0800 	 0.5000 	 9.901790507485 	 32.488367549943 	 9.899923350958 	 32.434122316052 
0.0800 	 1.0000 	 10.000573865266 	 35.169159363270 	 10.000119887696 	 35.260207794046 
0.0700 	 0.0500 	 22.545249548875 	 16.365958275859 	 22.543023219077 	 16.348521856965 
0.0700 	 0.1000 	 23.782807575798 	 12.890662117751 	 23.772589977856 	 12.859865995750 
0.0700 	 0.2000 	 14.841959246519 	 16.184835599838 	 14.829237180766 	 16.139546293329 
0.0700 	 0.5000 	 10.460736098579 	 28.745821472983 	 10.459369602059 	 28.696634019743 
0.0700 	 1.0000 	 9.998630449359 	 30.795545736224 	 9.998189542944 	 31.213593138839 
0.0600 	 0.0500 	 22.832861791662 	 13.118292492316 	 22.828250117041 	 13.100923629827 
0.0600 	 0.1000 	 22.378618914372 	 11.356576217856 	 22.368983400495 	 11.325669929927 
0.0600 	 0.2000 	 11.253748222883 	 20.711741089136 	 11.242658296014 	 20.665675411405 
0.0600 	 0.5000 	 9.950588755649 	 26.340388391952 	 9.949708019342 	 26.290988241777 
0.0600 	 1.0000 	 9.995497930834 	 nan 	 9.995082751821 	 27.820993617097 
0.0500 	 0.0500 	 16.315263742787 	 14.883500758046 	 16.310388290915 	 14.865764835144 
0.0500 	 0.1000 	 16.511755452553 	 13.063819277751 	 16.501152122438 	 13.034046140526 
0.0500 	 0.2000 	 11.125065271208 	 16.311366157253 	 11.115763731660 	 16.265562122589 
0.0500 	 0.5000 	 10.218716279428 	 21.802838372283 	 10.218159483973 	 21.753014079764 
0.0500 	 1.0000 	 9.999269439237 	 nan 	 9.998888562571 	 25.017908648660 
0.0400 	 0.0500 	 17.112949618674 	 11.719632374335 	 17.106810107148 	 11.702458898257 
0.0400 	 0.1000 	 13.316905322246 	 13.132508977072 	 13.307263500368 	 13.103138019704 
0.0400 	 0.2000 	 12.885702634196 	 10.641263620358 	 12.878657693555 	 10.592643936671 
0.0400 	 0.5000 	 9.995755310000 	 20.530818032696 	 9.995383564745 	 20.413689902968 
0.0400 	 1.0000 	 9.996922250036 	 nan 	 9.996580205962 	 nan 
0.0300 	 0.0500 	 13.658875352368 	 11.784871758722 	 13.652611118420 	 11.767465992656 
0.0300 	 0.1000 	 11.357860369051 	 12.971361680097 	 11.349831647138 	 12.941401594269 
0.0300 	 0.2000 	 10.157445116851 	 15.213158794088 	 10.153052335655 	 15.168393482120 
0.0300 	 0.5000 	 9.997956927002 	 17.894322906547 	 9.997654285657 	 17.602959255288 
0.0300 	 1.0000 	 9.987824125273 	 nan 	 9.987526943662 	 nan 
0.0250 	 0.0500 	 12.630723970138 	 11.580960480294 	 12.625819055928 	 11.564461460834 
0.0250 	 0.1000 	 12.737989469280 	 10.204463360916 	 12.730868402610 	 10.175483873968 
0.0250 	 0.2000 	 10.629187787094 	 11.252550197512 	 10.626144761498 	 11.213208709055 
0.0250 	 0.5000 	 9.998099065028 	 16.419924064655 	 9.997826048609 	 nan 
0.0250 	 1.0000 	 9.989709149741 	 nan 	 9.989437366299 	 nan 
0.0200 	 0.0500 	 12.019713403261 	 11.073160633918 	 12.014861897706 	 11.056194912208 
0.0200 	 0.1000 	 11.753492681648 	 10.111439761742 	 11.747701982600 	 10.080588858040 
0.0200 	 0.2000 	 10.036179070764 	 13.635861687541 	 10.034484886305 	 13.596166512489 
0.0200 	 0.5000 	 9.992341551272 	 nan 	 9.992097971061 	 nan 
0.0200 	 1.0000 	 9.991877402168 	 nan 	 9.991633821957 	 nan 
